discount,explorationProb,step_size,num_sample_starts,step_multiplier,runtime,maze
0.84,0.11,0.5,13,14,0.007612466812133789,maze804_dim30.txt
0.98,0.34,0.69,11,16,0.007686614990234375,maze804_dim30.txt
0.88,0.26,0.15,4,19,0.008417844772338867,maze804_dim30.txt
0.84,0.62,0.89,9,19,0.008273124694824219,maze804_dim30.txt
0.95,0.32,0.68,16,11,0.007730960845947266,maze804_dim30.txt
0.91,0.12,0.49,7,18,0.024551868438720703,maze1199_dim50.txt
0.86,0.61,0.26,7,15,0.02338695526123047,maze1199_dim50.txt
0.98,0.37,0.54,8,10,0.021758079528808594,maze1199_dim50.txt
0.91,0.67,0.38,18,16,0.023053646087646484,maze1199_dim50.txt
0.98,0.63,0.5,19,19,0.023351669311523438,maze1199_dim50.txt
1.0,0.13,0.1,6,7,0.022026538848876953,maze1199_dim50.txt
0.84,0.48,0.6,3,5,0.021938085556030273,maze1199_dim50.txt
0.94,0.36,0.25,12,16,0.0228579044342041,maze1199_dim50.txt
0.85,0.41,0.69,11,6,0.02227473258972168,maze1199_dim50.txt
0.91,0.46,0.72,20,14,0.023027658462524414,maze1199_dim50.txt
0.88,0.15,0.12,18,14,0.022496700286865234,maze1199_dim50.txt
0.99,0.37,0.41,19,19,0.02261805534362793,maze1199_dim50.txt
0.82,0.23,0.37,16,10,0.022133588790893555,maze1199_dim50.txt
0.85,0.28,0.58,5,10,0.02254962921142578,maze1199_dim50.txt
0.84,0.17,0.13,6,7,0.022098064422607422,maze1199_dim50.txt
0.95,0.49,0.58,12,8,0.02233290672302246,maze1199_dim50.txt
0.94,0.46,0.61,20,14,0.022147655487060547,maze1199_dim50.txt
0.93,0.66,0.39,19,5,0.022528886795043945,maze1199_dim50.txt
1.0,0.16,0.82,5,5,0.021637916564941406,maze1199_dim50.txt
0.9,0.42,0.18,11,15,0.022156238555908203,maze1199_dim50.txt
0.95,0.18,0.84,4,9,0.022631168365478516,maze1199_dim50.txt
0.96,0.22,0.6,10,12,0.0238189697265625,maze1199_dim50.txt
0.96,0.31,0.2,13,14,0.022279977798461914,maze1199_dim50.txt
0.96,0.62,0.28,10,10,0.02389693260192871,maze1199_dim50.txt
0.83,0.22,0.65,14,6,0.024344682693481445,maze1199_dim50.txt
0.92,0.57,0.13,18,8,0.02178478240966797,maze1199_dim50.txt
0.98,0.35,0.56,5,14,0.022144556045532227,maze1199_dim50.txt
0.97,0.18,0.19,16,6,0.022458791732788086,maze1199_dim50.txt
0.8,0.11,0.67,14,14,0.02264714241027832,maze1199_dim50.txt
0.82,0.18,0.34,16,8,0.02287125587463379,maze1199_dim50.txt
0.91,0.5,0.51,4,16,0.03857541084289551,maze1291_dim66.txt
0.81,0.17,0.35,7,17,0.03917431831359863,maze1291_dim66.txt
0.94,0.17,0.47,14,6,0.03701639175415039,maze1291_dim66.txt
0.89,0.18,0.29,13,18,0.03759288787841797,maze1291_dim66.txt
0.81,0.56,0.14,20,5,0.0379483699798584,maze1291_dim66.txt
0.86,0.4,0.49,5,10,0.037734031677246094,maze1291_dim66.txt
0.86,0.35,0.71,18,18,0.03907918930053711,maze1291_dim66.txt
0.88,0.14,0.9,20,12,0.03744816780090332,maze1291_dim66.txt
0.88,0.47,0.58,9,13,0.03783392906188965,maze1291_dim66.txt
0.82,0.11,0.44,19,15,0.037607669830322266,maze1291_dim66.txt
0.85,0.37,0.77,10,20,0.03786873817443848,maze1291_dim66.txt
0.97,0.48,0.28,13,20,0.03869485855102539,maze1291_dim66.txt
0.91,0.13,0.55,13,19,0.037793874740600586,maze1291_dim66.txt
0.82,0.17,0.55,11,18,0.03780841827392578,maze1291_dim66.txt
0.93,0.1,0.44,8,8,0.037101030349731445,maze1291_dim66.txt
0.96,0.18,0.47,5,8,0.038064002990722656,maze1291_dim66.txt
0.97,0.31,0.27,3,14,0.038765907287597656,maze1291_dim66.txt
0.86,0.51,0.29,13,18,0.03803849220275879,maze1291_dim66.txt
0.94,0.38,0.61,5,6,0.038756608963012695,maze1291_dim66.txt
0.92,0.44,0.41,8,12,0.03819537162780762,maze1291_dim66.txt
1.0,0.38,0.33,10,12,0.03827238082885742,maze1291_dim66.txt
0.86,0.35,0.68,3,6,0.03728628158569336,maze1291_dim66.txt
0.98,0.56,0.59,12,14,0.03819131851196289,maze1291_dim66.txt
0.86,0.49,0.65,4,18,0.03744959831237793,maze1291_dim66.txt
0.92,0.52,0.86,4,6,0.039037466049194336,maze1291_dim66.txt
0.85,0.17,0.39,5,15,0.03821706771850586,maze1291_dim66.txt
0.87,0.59,0.65,19,20,0.03818345069885254,maze1291_dim66.txt
0.89,0.38,0.32,16,5,0.03802132606506348,maze1291_dim66.txt
0.96,0.3,0.37,15,14,0.03927969932556152,maze1291_dim66.txt
0.9,0.62,0.14,5,6,0.039139747619628906,maze1291_dim66.txt
0.84,0.19,0.12,7,7,0.03834342956542969,maze220_dim67.txt
0.85,0.35,0.82,18,19,0.03795194625854492,maze220_dim67.txt
0.96,0.14,0.13,11,7,0.03876090049743652,maze220_dim67.txt
0.99,0.55,0.23,5,12,0.037908315658569336,maze220_dim67.txt
0.96,0.13,0.55,6,13,0.038419246673583984,maze220_dim67.txt
0.95,0.69,0.33,7,6,0.03825068473815918,maze220_dim67.txt
0.96,0.67,0.15,16,5,0.038520097732543945,maze220_dim67.txt
0.91,0.27,0.3,15,8,0.03773951530456543,maze220_dim67.txt
0.98,0.65,0.63,10,11,0.03908276557922363,maze220_dim67.txt
0.87,0.12,0.19,12,14,0.03865480422973633,maze220_dim67.txt
0.95,0.61,0.27,20,6,0.038504600524902344,maze220_dim67.txt
0.99,0.55,0.81,12,17,0.039855003356933594,maze220_dim67.txt
0.97,0.69,0.83,20,20,0.03860139846801758,maze220_dim67.txt
